token_id,timestamp,open_price,high_price,low_price,close_price
ADA,2025-08-08T13:00:00.000Z,0.45,0.475982,0.45,0.475982
ALGO,2025-08-08T13:00:00.000Z,0.18,0.180273,0.173174,0.173174
ATOM,2025-08-08T13:00:00.000Z,10.3,10.922798,10.3,10.922798
AVAX,2025-08-08T13:00:00.000Z,36,36,32.999702,32.999702
BTC,2025-08-08T13:00:00.000Z,43000,43035.937554,41976.952359,43035.937554
DOT,2025-08-08T13:00:00.000Z,7.2,7.418028,7.184984,7.373861
ETH,2025-08-08T13:00:00.000Z,2600,2600,2509.134882,2509.134882
LINK,2025-08-08T13:00:00.000Z,14.5,14.5,13.577926,13.577926
MATIC,2025-08-08T13:00:00.000Z,0.85,0.85,0.789618,0.81579
SOL,2025-08-08T13:00:00.000Z,98,98,94.237197,94.237197
ADA,2025-08-08T13:15:00.000Z,0.475982,0.480362,0.461199,0.480362
ALGO,2025-08-08T13:15:00.000Z,0.173174,0.178765,0.170084,0.178765
ATOM,2025-08-08T13:15:00.000Z,10.922798,11.040754,10.922798,10.997286
AVAX,2025-08-08T13:15:00.000Z,32.999702,32.999702,31.143085,31.143085
BTC,2025-08-08T13:15:00.000Z,43035.937554,44687.454592,43035.937554,44687.454592
DOT,2025-08-08T13:15:00.000Z,7.373861,7.373861,6.776693,6.776693
ETH,2025-08-08T13:15:00.000Z,2509.134882,2559.087802,2471.698293,2559.087802
LINK,2025-08-08T13:15:00.000Z,13.577926,13.577926,13.317637,13.324164
MATIC,2025-08-08T13:15:00.000Z,0.81579,0.900546,0.81579,0.900546
SOL,2025-08-08T13:15:00.000Z,94.237197,100.692888,94.237197,100.036865
ADA,2025-08-08T13:30:00.000Z,0.480362,0.484496,0.467574,0.467574
ALGO,2025-08-08T13:30:00.000Z,0.178765,0.183642,0.175625,0.183642
ATOM,2025-08-08T13:30:00.000Z,10.997286,11.628787,10.997286,11.628787
AVAX,2025-08-08T13:30:00.000Z,31.143085,32.56477,31.143085,31.630059
BTC,2025-08-08T13:30:00.000Z,44687.454592,45544.10079,43909.807568,45544.10079
DOT,2025-08-08T13:30:00.000Z,6.776693,6.776693,6.388882,6.388882
ETH,2025-08-08T13:30:00.000Z,2559.087802,2678.376439,2559.087802,2678.376439
LINK,2025-08-08T13:30:00.000Z,13.324164,13.324164,12.620667,12.620667
MATIC,2025-08-08T13:30:00.000Z,0.900546,0.914693,0.8977,0.912827
SOL,2025-08-08T13:30:00.000Z,100.036865,105.708532,100.036865,105.708532
ADA,2025-08-08T13:45:00.000Z,0.467574,0.485896,0.467574,0.485896
ALGO,2025-08-08T13:45:00.000Z,0.183642,0.183642,0.179179,0.181704
ATOM,2025-08-08T13:45:00.000Z,11.628787,11.628787,10.81616,10.81616
AVAX,2025-08-08T13:45:00.000Z,31.630059,32.351195,31.630059,32.351195
BTC,2025-08-08T13:45:00.000Z,45544.10079,46339.900015,45544.10079,46060.424984
DOT,2025-08-08T13:45:00.000Z,6.388882,6.388882,6.256275,6.256275
ETH,2025-08-08T13:45:00.000Z,2678.376439,2703.281406,2620.654127,2620.654127
LINK,2025-08-08T13:45:00.000Z,12.620667,12.620667,11.955343,11.955343
MATIC,2025-08-08T13:45:00.000Z,0.912827,0.964848,0.912827,0.964745
SOL,2025-08-08T13:45:00.000Z,105.708532,111.038657,105.708532,111.038657
ADA,2025-08-08T14:00:00.000Z,0.485896,0.517141,0.485896,0.517141
ALGO,2025-08-08T14:00:00.000Z,0.181704,0.187062,0.181704,0.187062
ATOM,2025-08-08T14:00:00.000Z,10.81616,11.561137,10.81616,11.561137
AVAX,2025-08-08T14:00:00.000Z,32.351195,32.851612,31.545605,32.851612
BTC,2025-08-08T14:00:00.000Z,46060.424984,46060.424984,45015.233799,45419.532589
DOT,2025-08-08T14:00:00.000Z,6.256275,6.256275,5.863029,6.007452
ETH,2025-08-08T14:00:00.000Z,2620.654127,2640.891332,2596.182004,2640.891332
LINK,2025-08-08T14:00:00.000Z,11.955343,12.587144,11.955343,12.412099
MATIC,2025-08-08T14:00:00.000Z,0.964745,0.981959,0.937147,0.941675
SOL,2025-08-08T14:00:00.000Z,111.038657,113.500029,111.038657,111.330496
ADA,2025-08-08T14:15:00.000Z,0.517141,0.542964,0.517141,0.542964
ALGO,2025-08-08T14:15:00.000Z,0.187062,0.187979,0.186444,0.187228
ATOM,2025-08-08T14:15:00.000Z,11.561137,11.659179,11.220833,11.220833
AVAX,2025-08-08T14:15:00.000Z,32.851612,34.059678,32.851612,34.059678
BTC,2025-08-08T14:15:00.000Z,45419.532589,46469.689973,45419.532589,46202.622469
DOT,2025-08-08T14:15:00.000Z,6.007452,6.178362,6.007452,6.030356
ETH,2025-08-08T14:15:00.000Z,2640.891332,2640.891332,2535.311283,2584.914262
LINK,2025-08-08T14:15:00.000Z,12.412099,12.934692,12.304214,12.934692
MATIC,2025-08-08T14:15:00.000Z,0.941675,0.941675,0.88775,0.88775
SOL,2025-08-08T14:15:00.000Z,111.330496,111.330496,108.29784,108.826567
ADA,2025-08-08T14:30:00.000Z,0.542964,0.542964,0.52363,0.52363
ALGO,2025-08-08T14:30:00.000Z,0.187228,0.193478,0.186685,0.193478
ATOM,2025-08-08T14:30:00.000Z,11.220833,11.220833,10.806702,10.991964
